G,L2,R2,W3,cg_R1,cg_R2,S11_Linear
145,37,16,14,30,41,0.42012717
145,37,16,14,30,48,0.4314797
145,37,16,14,30,55,0.44078758
145,37,16,9,30,20,0.39118263
145,37,16,9,30,27,0.39808157
145,37,16,9,30,34,0.40521639
145,37,16,9,30,41,0.41241083
145,37,18,9,30,48,0.41934509
145,37,18,9,30,55,0.42359341
145,37,18,19,30,20,0.37120367
145,37,18,19,30,27,0.37525627
145,37,18,19,30,34,0.3824421
145,37,18,19,30,41,0.39293891
145,37,18,19,30,48,0.40793465
145,37,18,19,30,55,0.42470936
145,37,18,14,30,20,0.38335284
145,37,18,14,30,27,0.39023208
145,37,18,14,30,34,0.39938001
145,37,18,14,30,41,0.40992311
145,37,18,14,30,48,0.42228937
145,37,18,14,30,55,0.43339941
145,37,18,9,30,20,0.38326208
145,37,18,9,30,27,0.38999142
145,37,18,9,30,34,0.39796315
145,37,18,9,30,41,0.4053765
145,37,18,9,30,48,0.41350008
145,37,18,9,30,55,0.41884767
145,37,20,19,30,20,0.35740733
145,37,20,19,30,27,0.35908085
145,37,20,19,30,34,0.36357019
145,37,20,19,30,41,0.37212846
145,37,20,19,30,48,0.38547502
145,37,20,19,30,55,0.40231736
145,37,20,14,30,20,0.37184836
145,37,20,14,30,27,0.37757284
145,37,20,14,30,34,0.38583743
145,37,20,14,30,41,0.39646696
145,37,20,14,30,48,0.40965391
145,37,20,14,30,55,0.4225061
145,37,20,9,30,20,0.37472814
145,37,20,9,30,27,0.3809089
145,37,20,9,30,34,0.38889585
145,37,20,9,30,41,0.39723085
145,37,20,9,30,48,0.40627956
145,37,20,9,30,55,0.41304399
150,37,16,19,30,20,0.4443239
150,37,16,19,30,27,0.45063509
150,37,16,19,30,34,0.46089221
150,37,16,19,30,41,0.47454566
150,37,16,19,30,48,0.49101767
150,37,16,19,30,55,0.50928991
150,37,16,14,30,20,0.46678948
150,37,16,14,30,27,0.47543172
150,37,16,14,30,34,0.48650702
150,37,16,14,30,41,0.49779332
150,37,16,14,30,48,0.50902367
150,37,16,14,30,55,0.51904596
150,37,16,9,30,20,0.47266311
